,Name of Town,Ward Number,Enumberation Block,Total Population,SC Population,ST Population
80Location Code3339,Chennai (M Corp.),1,EB No.-0043 SUB-EB No.01,807,572,-
803339,Chennai (M Corp.),1,EB No.-0043 SUB-EB No.02,523,364,-
803339,Chennai (M Corp.),1,EB No.-0044 SUB-EB No.01,573,211,-
803339,Chennai (M Corp.),1,EB No.-0044 SUB-EB No.02,307,73,-
803339,Chennai (M Corp.),1,EB No.-004500,720,127,-
803339,Chennai (M Corp.),1,EB No.-004600,816,56,-
803339,Chennai (M Corp.),1,EB No.-004700,714,51,-
803339,Chennai (M Corp.),1,EB No.-004800,578,14,-
803339,Chennai (M Corp.),1,EB No.-004900,572,27,-
803339,Chennai (M Corp.),1,EB No.-005000,583,34,-
803339,Chennai (M Corp.),1,EB No.-005100,550,-,5
803339,Chennai (M Corp.),1,EB No.-005200,581,22,-
803339,Chennai (M Corp.),1,EB No.-005300,399,21,-
803339,Chennai (M Corp.),1,EB No.-0054 SUB-EB No.01,763,49,-
803339,Chennai (M Corp.),1,EB No.-0054 SUB-EB No.02,79,-,-
803339,Chennai (M Corp.),1,EB No.-005500,628,-,-
803339,Chennai (M Corp.),1,EB No.-005600,328,24,-
803339,Chennai (M Corp.),1,EB No.-005700,351,52,-
803339,Chennai (M Corp.),1,EB No.-005800,628,-,-
803339,Chennai (M Corp.),1,EB No.-005900,636,54,-
803339,Chennai (M Corp.),1,EB No.-006000,351,5,-
803339,Chennai (M Corp.),1,EB No.-006100,320,-,-
803339,Chennai (M Corp.),1,EB No.-006200,432,2,-
803339,Chennai (M Corp.),1,EB No.-006300,367,14,-
803339,Chennai (M Corp.),1,EB No.-006400,340,65,-
803339,Chennai (M Corp.),1,EB No.-006500,833,32,-
803339,Chennai (M Corp.),1,EB No.-006600,642,47,1
803339,Chennai (M Corp.),1,EB No.-006700,458,44,-
803339,Chennai (M Corp.),1,EB No.-006800,406,48,-
803339,Chennai (M Corp.),1,EB No.-006900,588,8,-
803339,Chennai (M Corp.),1,EB No.-007000,310,9,-
803339,Chennai (M Corp.),1,EB No.-007100,407,1,-
803339,Chennai (M Corp.),1,EB No.-007200,101,-,-
803339,Chennai (M Corp.),1,EB No.-007300,665,4,-
803339,Chennai (M Corp.),1,EB No.-007400,581,19,-
803339,Chennai (M Corp.),1,EB No.-0075 SUB-EB No.01,517,59,-
803339,Chennai (M Corp.),1,EB No.-0075 SUB-EB No.02,507,64,6
803339,Chennai (M Corp.),1,EB No.-0076 SUB-EB No.01,702,84,-
803339,Chennai (M Corp.),1,EB No.-0076 SUB-EB No.02,143,14,-
803339,Chennai (M Corp.),1,EB No.-007700,587,107,11
803339,Chennai (M Corp.),1,EB No.-007800,491,43,-
803339,Chennai (M Corp.),1,EB No.-007900,586,14,-
803339,Chennai (M Corp.),1,EB No.-008000,580,19,4
803339,Chennai (M Corp.),1,EB No.-008100,292,49,-
803339,Chennai (M Corp.),1,EB No.-008200,710,42,1
803339,Chennai (M Corp.),1,EB No.-008300,723,96,3
803339,Chennai (M Corp.),1,EB No.-008400,391,92,-
803339,Chennai (M Corp.),1,EB No.-008500,614,57,-
803339,Chennai (M Corp.),1,EB No.-008600,649,42,-
803339,Chennai (M Corp.),1,EB No.-008700,478,31,-
