"SI.NO","Zone Number","Name of the Zone","Ward start","ward end"
"1","1","THIRUVOTRIYUR","1","14"
"2","2","MANALI","15","21"
"3","3","MADHAVARAM","22","33"
"4","4","TONDIARPET","34","48"
"5","5","ROYAPURAM","49","63"
"6","6","THIRU-VI-KA NAGAR","64","78"
"7","7","AMBATTUR","79","93"
"8","8","ANNA NAGAR","94","108"
"9","9","TEYNAMPET","109","126"
"10","10","KODAMBAKKAM","127","142"
"11","11","VALASARAVAKKAM","143","155"
"12","12","ALANDUR","156","167"
"13","13","ADYAR","170","182"
"14","14","PERUNGUDI","168","170"
"15","15","Sholinganallur","192","200"
